Id	Name	Element Type	Element Category	Unique Id2	WorksetId
645476	Glazed	"Family Type: Glazed, Family: System Panel"	Curtain Panels	d2aab1ee-e3a4-4e42-abd7-9a07cd67d934-0009d964	Shared Levels & Grids
645477	Glazed	"Family Type: Glazed, Family: System Panel"	Curtain Panels	d2aab1ee-e3a4-4e42-abd7-9a07cd67d934-0009d965	Shared Levels & Grids
645478	Glazed	"Family Type: Glazed, Family: System Panel"	Curtain Panels	d2aab1ee-e3a4-4e42-abd7-9a07cd67d934-0009d966	Shared Levels & Grids
645479	2x5	"Family Type: 2x5, Family: Rectangular Mullion"	Curtain Wall Mullions	d2aab1ee-e3a4-4e42-abd7-9a07cd67d934-0009d967	Shared Levels & Grids
645480	2x5	"Family Type: 2x5, Family: Rectangular Mullion"	Curtain Wall Mullions	d2aab1ee-e3a4-4e42-abd7-9a07cd67d934-0009d968	Shared Levels & Grids
645481	2x5	"Family Type: 2x5, Family: Rectangular Mullion"	Curtain Wall Mullions	d2aab1ee-e3a4-4e42-abd7-9a07cd67d934-0009d969	Shared Levels & Grids
645482	2x5	"Family Type: 2x5, Family: Rectangular Mullion"	Curtain Wall Mullions	d2aab1ee-e3a4-4e42-abd7-9a07cd67d934-0009d96a	Shared Levels & Grids
645483	2x5	"Family Type: 2x5, Family: Rectangular Mullion"	Curtain Wall Mullions	d2aab1ee-e3a4-4e42-abd7-9a07cd67d934-0009d96b	Shared Levels & Grids
645484	2x5	"Family Type: 2x5, Family: Rectangular Mullion"	Curtain Wall Mullions	d2aab1ee-e3a4-4e42-abd7-9a07cd67d934-0009d96c	Shared Levels & Grids
645485	2x5	"Family Type: 2x5, Family: Rectangular Mullion"	Curtain Wall Mullions	d2aab1ee-e3a4-4e42-abd7-9a07cd67d934-0009d96d	Shared Levels & Grids
647356	Volume for Scope	"Family Type: Volume for Scope, Family: Volume for Scope"	Generic Models	17ca758b-25f4-440c-951e-b8fe7036b96e-0009e0bc	Shared Levels & Grids
648526	Legend Component - Volume for Scope (3D)		Legend Components	17ca758b-25f4-440c-951e-b8fe7036b96e-0009e54e	Shared Levels & Grids
651573	Fence	Fence	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f135	Shared Levels & Grids
651574	Fence	"Family Type: Fence, Family: System Panel"	Curtain Panels	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f136	Shared Levels & Grids
651580	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f13c	Shared Levels & Grids
651582	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f13e	Shared Levels & Grids
651584	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f140	Shared Levels & Grids
651585	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f141	Shared Levels & Grids
652038	01 - Level 01			7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f306	Shared Levels & Grids
652049	01 - Level 01			7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f311	Shared Levels & Grids
652181	"Wall - 4"""	"Wall - 4"""	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f395	Shared Levels & Grids
652348	"Wall - 1"""	"Wall - 1"""	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f43c	Shared Levels & Grids
652804	Alignment	DimensionType	Constraints	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f604	Shared Levels & Grids
652806	Alignment	DimensionType	Constraints	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f606	Shared Levels & Grids
653323	"Wall - 1"""	"Wall - 1"""	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f80b	Shared Levels & Grids
653460	"Wall - 1"""	"Wall - 1"""	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f894	Shared Levels & Grids
653670	"Wall - 8"""	"Wall - 8"""	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f966	Shared Levels & Grids
653753	"Wall - 8"""	"Wall - 8"""	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009f9b9	Shared Levels & Grids
653920	"Wall - 8"""	"Wall - 8"""	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009fa60	Shared Levels & Grids
654053	"Wall - 8"""	"Wall - 8"""	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009fae5	Shared Levels & Grids
654147	"Wall - 8"""	"Wall - 8"""	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009fb43	Shared Levels & Grids
654229	"Wall - 8"""	"Wall - 8"""	Walls	7be828d6-4abc-49b1-ac21-0eba95f8de7c-0009fb95	Shared Levels & Grids
655070	Legend Component - Negative Air Machine (3D)		Legend Components	8eaf789b-29c1-4054-8370-2163ae75a62d-0009fede	Shared Levels & Grids
655105	Negative Air Machine	"Family Type: Negative Air Machine, Family: Negative Air Machine"	Mechanical Equipment	8eaf789b-29c1-4054-8370-2163ae75a62d-0009ff01	Shared Levels & Grids
655198	Negative Air Machine	"Family Type: Negative Air Machine, Family: Negative Air Machine"	Mechanical Equipment	8eaf789b-29c1-4054-8370-2163ae75a62d-0009ff5e	Shared Levels & Grids
656293	Legend Component - Window Panel for Negative Air Machine (3D)		Legend Components	8eaf789b-29c1-4054-8370-2163ae75a62d-000a03a5	Shared Levels & Grids
667009	Legend Component - Round Elbow - Pleated (3D)		Legend Components	8eaf789b-29c1-4054-8370-2163ae75a62d-000a2d81	Shared Levels & Grids
667833	Legend Component - Round Union (3D)		Legend Components	8eaf789b-29c1-4054-8370-2163ae75a62d-000a30b9	Shared Levels & Grids
668766	Legend Component - Round Transition - DTL (3D)		Legend Components	8eaf789b-29c1-4054-8370-2163ae75a62d-000a345e	Shared Levels & Grids
669859	Legend Component - Round Endcap - DTL (3D)		Legend Components	8eaf789b-29c1-4054-8370-2163ae75a62d-000a38a3	Shared Levels & Grids
671244	Legend Component - Oval Transition - Length (3D)		Legend Components	8eaf789b-29c1-4054-8370-2163ae75a62d-000a3e0c	Shared Levels & Grids
671589	Linear Dimension Style	DimensionType	Constraints	a4ef5d71-eae0-46cb-8361-bf980402fe9b-000a3f65	Shared Levels & Grids
672388	"Wall - 4"""	"Wall - 4"""	Walls	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a4284	Shared Levels & Grids
672492	"Wall - 4"""	"Wall - 4"""	Walls	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a42ec	Shared Levels & Grids
672495	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a42ef	Shared Levels & Grids
672500	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a42f4	Shared Levels & Grids
672505	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a42f9	Shared Levels & Grids
672515	01 - Level 01			0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a4303	Shared Levels & Grids
672516	Sketch			0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a4304	Shared Levels & Grids
672517	Grass	Grass	Floors	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a4305	Shared Levels & Grids
672520	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a4308	Shared Levels & Grids
672525	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a430d	Shared Levels & Grids
672532	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a4314	Shared Levels & Grids
672537	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a4319	Shared Levels & Grids
672542	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a431e	Shared Levels & Grids
673009	Fence	Fence	Walls	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a44f1	Shared Levels & Grids
673010	Fence	"Family Type: Fence, Family: System Panel"	Curtain Panels	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a44f2	Shared Levels & Grids
673015	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a44f7	Shared Levels & Grids
673017	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a44f9	Shared Levels & Grids
673019	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a44fb	Shared Levels & Grids
673020	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a44fc	Shared Levels & Grids
673246	"Wall - 4"""	"Wall - 4"""	Walls	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a45de	Shared Levels & Grids
673336	01 - Level 01			0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a4638	Shared Levels & Grids
673337	Sketch			0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a4639	Shared Levels & Grids
673338	"Floor 6"""	"Floor 6"""	Floors	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a463a	Shared Levels & Grids
673339	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a463b	Shared Levels & Grids
673340	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a463c	Shared Levels & Grids
673341	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a463d	Shared Levels & Grids
673342	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a463e	Shared Levels & Grids
673343	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a463f	Shared Levels & Grids
673474	05 - Level 05			0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a46c2	Shared Levels & Grids
673475	Sketch			0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a46c3	Shared Levels & Grids
673476	"Floor 6"""	"Floor 6"""	Floors	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a46c4	Shared Levels & Grids
673773	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a47ed	Shared Levels & Grids
673823	Model Lines		Lines - <Sketch>	0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a481f	Shared Levels & Grids
673839	01 - Level 01			0fbd69e7-ff57-44fb-a2a6-b73b7499f857-000a482f	Shared Levels & Grids
679142	Family1	"Family Type: Family1, Family: Scaffolding Structure"	Generic Models	03b02f18-4617-4fca-a5f5-dd4919798ed8-000a5ce6	Shared Levels & Grids
696552	Alignment	DimensionType	Constraints	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa0e8	Shared Levels & Grids
696554	Alignment	DimensionType	Constraints	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa0ea	Shared Levels & Grids
696816	Grid Line		Walls - Curtain Wall Grids	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa1f0	Shared Levels & Grids
696817	Fence	"Family Type: Fence, Family: System Panel"	Curtain Panels	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa1f1	Shared Levels & Grids
696823	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa1f7	Shared Levels & Grids
696824	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa1f8	Shared Levels & Grids
696825	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa1f9	Shared Levels & Grids
697022	Grid Line		Walls - Curtain Wall Grids	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa2be	Shared Levels & Grids
697023	Fence	"Family Type: Fence, Family: System Panel"	Curtain Panels	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa2bf	Shared Levels & Grids
697028	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa2c4	Shared Levels & Grids
697029	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa2c5	Shared Levels & Grids
697030	"2.5"""	"Family Type: 2.5"", Family: Circular Mullion"	Curtain Wall Mullions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa2c6	Shared Levels & Grids
697466	Model Lines		Lines - <Sketch>	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa47a	Shared Levels & Grids
697558	Model Lines		Lines - <Sketch>	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa4d6	Shared Levels & Grids
697762	05 - Level 05			275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5a2	Shared Levels & Grids
697763	Sketch			275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5a3	Shared Levels & Grids
697764	"Floor 6"""	"Floor 6"""	Floors	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5a4	Shared Levels & Grids
697774	Model Lines		Lines - <Sketch>	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5ae	Shared Levels & Grids
697775	Model Lines		Lines - <Sketch>	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5af	Shared Levels & Grids
697776	Model Lines		Lines - <Sketch>	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5b0	Shared Levels & Grids
697777	Model Lines		Lines - <Sketch>	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5b1	Shared Levels & Grids
697793	Linear Dimension Style	DimensionType	Dimensions - Automatic Sketch Dimensions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5c1	Shared Levels & Grids
697797	Linear Dimension Style	DimensionType	Dimensions - Automatic Sketch Dimensions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5c5	Shared Levels & Grids
